eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 6/26/2014 11:57:49 PM
#Cmp ( order = Reference )
| C1         10uF        ; 311-1343-1-ND;             ;             ;             ;             ;             ;             ;             
| IR3        QRE1113     ;             ;             ;             ;             ;             ;             ;             ;             
| IR4        QRE1113     ;             ;             ;             ;             ;             ;             ;             ;             
| IR5        QRE1113     ;             ;             ;             ;             ;             ;             ;             ;             
| J1         3.3V Jumper ; 3M9447-ND   ;             ;             ;             ;             ;             ;             ;             
| J2         5V Jumper   ; 3M9447-ND   ;             ;             ;             ;             ;             ;             ;             
| J3         9V Jumper   ; 609-3461-ND ;             ;             ;             ;             ;             ;             ;             
| L1         6.8 uH      ; SRN6045-100MCT-ND;             ;             ;             ;             ;             ;             ;             
| M1         MOTOR       ;             ;             ;             ;             ;             ;             ;             ;             
| M2         MOTOR       ;             ;             ;             ;             ;             ;             ;             ;             
| R1         100         ; 311-100HRCT-ND;             ;             ;             ;             ;             ;             ;             
| R2         22k         ; P22KDBTR-ND ;             ;             ;             ;             ;             ;             ;             
| R3         43k         ; 311-43.0KHRCT-ND;             ;             ;             ;             ;             ;             ;             
| R4         10k         ; 311-10KGRCT-ND;             ;             ;             ;             ;             ;             ;             
| R5         22k         ; P22KDBTR-ND ;             ;             ;             ;             ;             ;             ;             
| R6         100         ; 311-100HRCT-ND;             ;             ;             ;             ;             ;             ;             
| R7         10k         ; 311-10KGRCT-ND;             ;             ;             ;             ;             ;             ;             
| R8         100         ; 311-100HRCT-ND;             ;             ;             ;             ;             ;             ;             
| R9         22k         ; P22KDBTR-ND ;             ;             ;             ;             ;             ;             ;             
| R10        22k         ; P22KDBTR-ND ;             ;             ;             ;             ;             ;             ;             
| R11        10k         ; 311-10KGRCT-ND;             ;             ;             ;             ;             ;             ;             
| R12        100         ; 311-100HRCT-ND;             ;             ;             ;             ;             ;             ;             
| R13        10k         ; 311-10KGRCT-ND;             ;             ;             ;             ;             ;             ;             
| R14        100         ; 311-100HRCT-ND;             ;             ;             ;             ;             ;             ;             
| R15        10k         ; 311-10KGRCT-ND;             ;             ;             ;             ;             ;             ;             
| R16        165         ; 311-165HRCT-ND;             ;             ;             ;             ;             ;             ;             
| R17        261         ; P261HCT-ND  ;             ;             ;             ;             ;             ;             ;             
| R18        453         ; P453HCT-ND  ;             ;             ;             ;             ;             ;             ;             
| R19        23.2k       ; 311-23.2KHRTR-ND;             ;             ;             ;             ;             ;             ;             
| R20        150k        ; P150KDBCT-ND;             ;             ;             ;             ;             ;             ;             
| R21        200k        ; P200KDBCT-ND;             ;             ;             ;             ;             ;             ;             
| R22        49.9        ; P49.9HCT-ND ;             ;             ;             ;             ;             ;             ;             
#End Cmp

#Cmp ( order = Value )
| 0.01uF 16V X7R C5        ; 490-1512-1-ND;             ;             ;             ;             ;             ;             ;             
| 2.2uF 6.3V   C4        ; 587-1254-1-ND;             ;             ;             ;             ;             ;             ;             
| 10uF         C1        ; 311-1343-1-ND;             ;             ;             ;             ;             ;             ;             
| 22uF         C8        ; 399-3716-1-ND;             ;             ;             ;             ;             ;             ;             
| 68uF         C11       ; 399-4698-1-ND;             ;             ;             ;             ;             ;             ;             
| 2.2 uF 6.3V  C2        ; 587-1254-1-ND ;             ;             ;             ;             ;             ;             ;             
| 4.7 uF ESR 0.2 C6        ; 478-1772-1-ND;             ;             ;             ;             ;             ;             ;             
| 4.7 uF ESR 0.2 C7        ; 478-1772-1-ND;             ;             ;             ;             ;             ;             ;             
| 1 uF         C3        ; 587-1242-1-ND ;             ;             ;             ;             ;             ;             ;             
| 39 pF        C9        ;             ;             ;             ;             ;             ;             ;             ;             
| 1 uF         C10       ; 587-1242-1-ND ;             ;             ;             ;             ;             ;             ;             
| SERVO        CONN1     ; 609-3461-ND ;             ;             ;             ;             ;             ;             ;             
| 3AAA-BATTERY CONN2     ;             ;             ;             ;             ;             ;             ;             ;             
| IR           CONN3     ;             ;             ;             ;             ;             ;             ;             ;             
| BOOSTERPACK_LEFT CONN4     ;             ;             ;             ;             ;             ;             ;             ;             
| BOOSTERPACK_RIGHT CONN5     ;             ;             ;             ;             ;             ;             ;             ;             
| DIODESCH     D4        ; MBRS140T3GOSCT-ND;             ;             ;             ;             ;             ;             ;             
| LED          D1        ;             ;             ;             ;             ;             ;             ;             ;             
| LED          D2        ;             ;             ;             ;             ;             ;             ;             ;             
| LED          D3        ;             ;             ;             ;             ;             ;             ;             ;             
| TPS77033     IC2       ;             ;             ;             ;             ;             ;             ;             ;             
| TPS77050     IC3       ;             ;             ;             ;             ;             ;             ;             ;             
| LMR61428     IC4       ;             ;             ;             ;             ;             ;             ;             ;             
| DRV8833      IC1       ;             ;             ;             ;             ;             ;             ;             ;             
| QRE1113      IR1       ;             ;             ;             ;             ;             ;             ;             ;             
| QRE1113      IR2       ;             ;             ;             ;             ;             ;             ;             ;             
| QRE1113      IR3       ;             ;             ;             ;             ;             ;             ;             ;             
| QRE1113      IR4       ;             ;             ;             ;             ;             ;             ;             ;             
| QRE1113      IR5       ;             ;             ;             ;             ;             ;             ;             ;             
| 3.3V Jumper  J1        ; 3M9447-ND   ;             ;             ;             ;             ;             ;             ;             
| 5V Jumper    J2        ; 3M9447-ND   ;             ;             ;             ;             ;             ;             ;             
| 9V Jumper    J3        ; 609-3461-ND ;             ;             ;             ;             ;             ;             ;             
| 6.8 uH       L1        ; SRN6045-100MCT-ND;             ;             ;             ;             ;             ;             ;             
| MOTOR        M1        ;             ;             ;             ;             ;             ;             ;             ;             
| MOTOR        M2        ;             ;             ;             ;             ;             ;             ;             ;             
| 49.9         R22       ; P49.9HCT-ND ;             ;             ;             ;             ;             ;             ;             
| 100          R1        ; 311-100HRCT-ND;             ;             ;             ;             ;             ;             ;             
| 100          R6        ; 311-100HRCT-ND;             ;             ;             ;             ;             ;             ;             
| 100          R8        ; 311-100HRCT-ND;             ;             ;             ;             ;             ;             ;             
| 100          R12       ; 311-100HRCT-ND;             ;             ;             ;             ;             ;             ;             
| 100          R14       ; 311-100HRCT-ND;             ;             ;             ;             ;             ;             ;             
| 165          R16       ; 311-165HRCT-ND;             ;             ;             ;             ;             ;             ;             
| 261          R17       ; P261HCT-ND  ;             ;             ;             ;             ;             ;             ;             
| 453          R18       ; P453HCT-ND  ;             ;             ;             ;             ;             ;             ;             
| 10k          R4        ; 311-10KGRCT-ND;             ;             ;             ;             ;             ;             ;             
| 10k          R7        ; 311-10KGRCT-ND;             ;             ;             ;             ;             ;             ;             
| 10k          R11       ; 311-10KGRCT-ND;             ;             ;             ;             ;             ;             ;             
| 10k          R13       ; 311-10KGRCT-ND;             ;             ;             ;             ;             ;             ;             
| 10k          R15       ; 311-10KGRCT-ND;             ;             ;             ;             ;             ;             ;             
| 22k          R2        ; P22KDBTR-ND ;             ;             ;             ;             ;             ;             ;             
| 22k          R5        ; P22KDBTR-ND ;             ;             ;             ;             ;             ;             ;             
| 22k          R9        ; P22KDBTR-ND ;             ;             ;             ;             ;             ;             ;             
| 22k          R10       ; P22KDBTR-ND ;             ;             ;             ;             ;             ;             ;             
| 23.2k        R19       ; 311-23.2KHRTR-ND;             ;             ;             ;             ;             ;             ;             
| 43k          R3        ; 311-43.0KHRCT-ND;             ;             ;             ;             ;             ;             ;             
| 150k         R20       ; P150KDBCT-ND;             ;             ;             ;             ;             ;             ;             
| 200k         R21       ; P200KDBCT-ND;             ;             ;             ;             ;             ;             ;             
#End Cmp

#End List
